type,zone,from_station_gen,from_station_name,to_station_name,lat_long,lat_long_string,long,lat,departure,arrival,duration,number_of_halts,distance,speed,departure_days,name
Exp,NR,Delhi,Old Delhi,Bhatinda Junction,"30.2109940,74.9454745","30.2109940,74.9454745",74.9454745,30.210994,0.621527778,0.930555556,7.416666667,15,337,45.4,SMTWTFS,Kissan Express
Exp,NR,Delhi,Delhi Sarai Rohilla,Dehradun,"30.3164945,78.0321918","30.3164945,78.0321918",78.0321918,30.3164945,0.895833333,0.333333333,10.5,17,339,32.3,SMTWTFS,Mussoorie Express
SF,SER,Kolkata,Kolkata Howrah Junction,Purulia Junction,"23.3254134,86.3779031","23.3254134,86.3779031",86.3779031,23.3254134,0.354166667,0.59375,5.75,6,340,59.1,#NAME?,Lalmati Express
Exp,ER,Kolkata,Kolkata Howrah Junction,Malda Town,"25.0108408,88.1410967","25.0108408,88.1410967",88.1410967,25.0108408,0.642361111,0.951388889,7.416666667,15,340,45.8,SMTWTFS,InterCity Express
Exp,ER,Kolkata,Kolkata Sealdah,Malda Town,"25.0108408,88.1410967","25.0108408,88.1410967",88.1410967,25.0108408,0.927083333,0.260416667,8,12,347,43.4,SMTWTFS,Sealdah-Malda Town Gour Express
Exp,CR,Chennai,Chennai Egmore,"Salem Junction, Tamil Nadu","11.5189079,79.3237463","11.5189079,79.3237463",79.3237463,11.5189079,0.958333333,0.284722222,7.833333333,12,353,45.1,SMTWTFS,Chennai Salem Express
SF,SWR,Chennai,Chennai Central,Bangalore City Junction,"12.9777803,77.5685757","12.9777803,77.5685757",77.5685757,12.9777803,0.649305556,0.899305556,6,11,358,59.7,SMTWTFS,Lalbagh Express
Shtb,SWR,Chennai,Chennai Central,Bangalore City Junction,"12.9777803,77.5685757","12.9777803,77.5685757",77.5685757,12.9777803,0.729166667,0.9375,5,2,362,72.4,SM-WTFS,Chennai Bangalore Shatabdi Express
SF,SWR,Chennai,Chennai Central,Bangalore City Junction,"12.9777803,77.5685757","12.9777803,77.5685757",77.5685757,12.9777803,0.96875,0.215277778,5.916666667,6,362,61.2,SMTWTFS,Chennai - Bangalore Mail
SF,SR,Chennai,Chennai Central,Bangalore City Junction,"12.9777803,77.5685757","12.9777803,77.5685757",77.5685757,12.9777803,0.302083333,0.555555556,6.083333333,10,362,59.5,SMTWTFS,Brindavan Express
SF,SWR,Chennai,Chennai Central,Bangalore City Junction,"12.9777803,77.5685757","12.9777803,77.5685757",77.5685757,12.9777803,0.565972222,0.836805556,6.5,17,362,55.7,SMTWTFS,Chennai-Bangalore Intercity Express
SF,SWR,Chennai,Chennai Central,Bangalore Yesvantpur Junction,"13.0232118,77.5513735","13.0232118,77.5513735",77.5513735,13.0232118,0.979166667,0.256944444,6.666666667,5,370,55.5,#NAME?,Chennai-Yesvantpur Weekly Express
Exp,NR,Delhi,Old Delhi,Una Himachal,"31.4684450,76.2707745","31.4684450,76.2707745",76.2707745,31.468445,0.947916667,0.326388889,9.083333333,23,371,40.8,SMTWTFS,Himachal Express
JShtb,SCR,Mumbai,Mumbai CST,Aurangabad,"19.8761653,75.3433139","19.8761653,75.3433139",75.3433139,19.8761653,0.576388889,0.857638889,6.75,5,374,55.4,SMTWTFS,Mumbai Aurangabad Jan Shatabdi
Exp,CR,Mumbai,Mumbai Dadar Central,Dhule,"20.9042201,74.7748979","20.9042201,74.7748979",74.7748979,20.9042201,0.989583333,0.309027778,7.666666667,15,375,48.9,SMTWTFS,Dadar Amritsar Express Slip
Exp,ER,Kolkata,Kolkata Chitpur,Dhaca Cantt. Bangladesh,"23.8196232,90.3972244","23.8196232,90.3972244",90.3972244,23.8196232,0.298611111,0.75,10.83333333,0,375,34.6,--T----,Maitree Express IR
Exp,ER,Kolkata,Kolkata Chitpur,Dhaca Cantt. Bangladesh,"23.8196232,90.3972244","23.8196232,90.3972244",90.3972244,23.8196232,0.298611111,0.75,10.83333333,0,375,34.6,#NAME?,Maitree Express BR
SF,WR,Mumbai,Mumbai Central,Vadodara Junction,"22.3073095,73.1810976","22.3073095,73.1810976",73.1810976,22.3073095,0.986111111,0.253472222,6.416666667,3,392,61.1,SMTWTFS,Mumbai Central -Vadodara Express
Exp,CR,Chennai,Chennai Egmore,Mettur Dam,"11.8037584,77.8074214","11.8037584,77.8074214",77.8074214,11.8037584,0.958333333,0.336805556,9.083333333,15,393,43.3,SMTWTFS,Chennai Salem Express Slip
Exp,SR,Chennai,Chennai Egmore,Mannargudi,"10.6648689,79.4507152","10.6648689,79.4507152",79.4507152,10.6648689,0.916666667,0.267361111,8.416666667,9,395,46.9,SMTWTFS,Mannai Express
Exp,SR,Chennai,Chennai Central,Erode Junction,"11.6686530,77.7622547","11.6686530,77.7622547",77.7622547,11.668653,0.944444444,0.267361111,7.75,16,396,51.1,SMTWTFS,Yercaud Express
JShtb,ER,Kolkata,Kolkata Howrah Junction,Barbil,"22.1053397,85.3789642","22.1053397,85.3789642",85.3789642,22.1053397,0.263888889,0.552083333,6.916666667,6,398,57.5,SMTWTFS,Barbil Janshatabdi
Exp,NWR,Delhi,Old Delhi,Bhatinda Junction,"30.2109940,74.9454745","30.2109940,74.9454745",74.9454745,30.210994,0.59375,0.927083333,8,18,399,49.9,SMTWTFS,Delhi Bhatinda Intercity Express
Exp,SR,Chennai,Chennai Egmore,Tiruchirappalli Junction,"10.7953287,78.6840598","10.7953287,78.6840598",78.6840598,10.7953287,0.347222222,0.690972222,8.25,15,401,48.6,SMTWTFS,Cholan Express (Day Express)
SF,NR,Delhi,Delhi Hazrat Nizamuddin,Jhansi Junction,"25.0457256,78.8049305","25.0457256,78.8049305",78.8049305,25.0457256,0.298611111,0.569444444,6.5,9,403,62,SMTWTFS,H.Nizamuddin-Jhansi Taj Express
JShtb,NR,Delhi,New Delhi,Una Himachal,"31.4684450,76.2707745","31.4684450,76.2707745",76.2707745,31.468445,0.607638889,0.923611111,7.583333333,11,410,54.1,SMTWTFS,New Delhi-Una Janshatabdi
Mail,NR,Delhi,Old Delhi,Hoshiarpur,"31.5322000,75.9172000","31.5322000,75.9172000",75.9172,31.5322,0.847222222,0.267361111,10.08333333,17,411,40.8,SMTWTFS,Jammu Mail
Shtb,ER,Kolkata,Kolkata Howrah Junction,Ranchi Junction,"22.9655604,85.9987331","22.9655604,85.9987331",85.9987331,22.9655604,0.253472222,0.548611111,7.083333333,7,423,59.7,#NAME?,Howrah-Ranchi Shatabdi Express
Exp,SER,Kolkata,Kolkata Howrah Junction,Ranchi Junction,"22.9655604,85.9987331","22.9655604,85.9987331",85.9987331,22.9655604,0.59375,0.927083333,8,7,423,52.9,SMT----,Howrah-Ranchi InterCity Express
Exp,SER,Kolkata,Kolkata Howrah Junction,"Hatia, Jharkhand","22.7492100,85.9169350","22.7492100,85.9169350",85.916935,22.74921,0.930555556,0.315972222,9.25,4,423,45.7,SMTWTFS,Howrah-Hatia Express
SF,NR,Delhi,Old Delhi,Shri Ganganagar,"29.9167000,73.8833000","29.9167000,73.8833000",73.8833,29.9167,0.548611111,0.861111111,7.5,12,424,56.5,SMTWTFS,Delhi Sriganganagar InterCity
Exp,SR,Chennai,Chennai Egmore,Kumbakonam,"10.9616945,79.3881132","10.9616945,79.3881132",79.3881132,10.9616945,0.9375,0.319444444,9.166666667,17,425,46.4,SMTWTFS,Rock Fort Express
JShtb,SR,Chennai,Chennai Central,Vijayawada Junction,"16.5182353,80.6184687","16.5182353,80.6184687",80.6184687,16.5182353,0.291666667,0.565972222,6.583333333,7,431,65.5,SM-WTFS,Chennai Vijayawada Jan Shatabdi Express
SF,SCR,Chennai,Chennai Central,Vijayawada Junction,"16.5182353,80.6184687","16.5182353,80.6184687",80.6184687,16.5182353,0.586805556,0.881944444,7.083333333,10,431,60.8,SMTWTFS,Pinakini Express
Exp,SR,Chennai,Chennai Egmore,Nagore,"10.8127803,79.8391001","10.8127803,79.8391001",79.8391001,10.8127803,0.96875,0.385416667,10,15,436,43.6,SMTWTFS,Kamban Express
Shtb,NCR,Delhi,New Delhi,Kanpur Central,"26.4543489,80.3512482","26.4543489,80.3512482",80.3512482,26.4543489,0.663194444,0.868055556,4.916666667,1,437,88.9,#NAME?,New Delhi-Kanpur Shatabdi Express
Exp,ER,Kolkata,Kolkata Chitpur,Balurghat,"25.2241800,88.7739330","25.2241800,88.7739330",88.773933,25.22418,0.538194444,0.920138889,9.166666667,8,438,47.8,-M-W-F-,Tebhaga Express
JShtb,ECoR,Kolkata,Kolkata Howrah Junction,Bhubaneswar,"20.2960587,85.8245398","20.2960587,85.8245398",85.8245398,20.2960587,0.565972222,0.847222222,6.75,7,439,65,#NAME?,Howrah-Bhubaneswar Jan Shatabdi Express
Exp,NR,Delhi,New Delhi,Jalandhar City,"31.3260152,75.5761829","31.3260152,75.5761829",75.5761829,31.3260152,0.618055556,0.979166667,8.666666667,19,439,50.7,SMTWTFS,New Delhi-Jalandhar Express
